CustomerID,Churn Probability
7590-VHVEG,0.5904510342788519
5575-GNVDE,0.1348390280939409
7795-CFOCW,0.0958596763389089
1452-KIOVK,0.2127415381484968
6713-OKOMC,0.3508805720702492
6388-TABGU,0.09533751762518339
9763-GRSKD,0.12218039180425341
7469-LKBCI,0.024604102770934104
8091-TTVAX,0.1430537877660995
5129-JLPIS,0.3965820648273416
3655-SNQYZ,0.015314022134262905
8191-XWSZG,0.06850553219068609
9959-WOFKT,0.03580342513631433
4183-MYFRB,0.6726612837519677
1680-VDCWW,0.08249152118941756
3638-WEABW,0.04091537006717614
6322-HRPFA,0.02941812199723969
6865-JZNKO,0.32746166824519957
5248-YGIJN,0.012165169607439272
3841-NFECX,0.024337553492909624
4929-XIHVW,0.6473499933726292
6827-IEAUQ,0.09514703734326496
7310-EGVHZ,0.1810298930603822
3413-BMNZE,0.497230699638755
6234-RAAPL,0.0251238698233869
6572-ADKRS,0.4460228043822146
8865-TNMNX,0.27458816273311487
9489-DEDVP,0.02574969847898265
9867-JCZSP,0.07857674835517973
4671-VJLCL,0.017502116610110346
4080-IIARD,0.3088314303539516
3714-NTNFO,0.5547592340636873
5948-UJZLF,0.4940638174539048
7639-LIAYI,0.020428000357633362
2954-PIBKO,0.020250934414403763
8012-SOUDQ,0.5588641041490835
6575-SUVOI,0.1796398322821428
4667-QONEA,0.04583989211892873
8769-KKTPH,0.09200483888686736
5067-XJQFU,0.14085178259887476
3957-SQXML,0.021481330288193247
5954-BDFSG,0.03180314203348879
0434-CSFON,0.5059944815417293
1215-FIGMP,0.4170434819365082
0526-SXDJP,0.046783355711529494
0557-ASKVU,0.16276646840769302
5122-CYFXA,0.47905773881936003
8627-ZYGSZ,0.36069695615919295
3410-YOQBQ,0.05972257045100622
3170-NMYVV,0.02987880134132851
7410-OIEDU,0.5599434660243153
2273-QCKXA,0.39910229671687564
0731-EBJQB,0.09506422281813146
1891-QRQSA,0.03152813493671657
8028-PNXHQ,0.03214394720954985
5630-AHZIL,0.09374344987703213
2673-CXQEU,0.1279477725921009
6416-JNVRK,0.13461034947767947
5590-ZSKRV,0.1050378290645779
0191-ZHSKZ,0.3351509677590897
3887-PBQAO,0.05686368806923791
8108-UXRQN,0.12068727013303229
9919-YLNNG,0.38765993721615066
0318-ZOPWS,0.03576407643166318
4445-ZJNMU,0.6051491995199965
4808-YNLEU,0.14901396218426882
1862-QRWPE,0.028996882160675728
2796-NNUFI,0.03615657857814612
3016-KSVCP,0.438545551729367
4767-HZZHQ,0.2126241038184297
2424-WVHPL,0.6375003660770405
7233-PAHHL,0.020055346931610565
6067-NGCEU,0.16394037458216706
9848-JQJTX,0.07079664693134109
